<ID>,<Name>
10314983,28414377
11000497,UFP-1-C-4X2M
11000501,UFP-500-C-65MSM
11000504,UFP-5-C-MM01A
11000505,UFP-5-C-MM06A
11000506,UFP-5-E-MM01A
11000507,UFP-5-E-MM06A
11000508,CFP-2-G-4X2MA
11000515,QSM-DC
11000520,SS-65MSM-SSP
11000521,SS-65MSM-EL-SSP
11000522,UFP-750-E-55A
11000536,UFP-1-C-55R
11000537,UFP-3-C-H24U
11000538,UFP-10-C-H24U
11000539,UFP-30-C-H24U
11000540,UFP-100-C-H24U
11000541,UFP-300-C-H24U
11000542,UFP-500-C-H24U
11000543,UFP-3-C-2U
11000544,UFP-10-C-2U
11000545,UFP-30-C-2U
11000546,UFP-100-C-2U
11000547,UFP-300-C-2U
11000548,UFP-500-C-2U
11000549,UFP-500-E-2U
11000550,UFP-750-E-2U
11000551,CFP-1-E-2U
11000552,CFP-2-E-2U
11000553,CFP-4-E-2U
11000554,CFP-6-D-2U
11000565,CFP-CELL-KIT-2U
11000569,CFP-1-E-75R
11000570,CFP-2-E-75R
11000571,UFP-500-C-3M
11000572,UFP-500-C-4X2M
11000574,UFP-30-E-152M
11000577,UFP-5-C-3X2MA
11000579,UFP-1-C-H24L
11000581,UFP-300-E-55STM
11000583,UFP-300-E-55SMO
11000596,UFP-300-E-55A
11000664,KFHR0310STND
11000667,KFHR0115TQE
11000670,KLPH001SS
11000671,KSP001AKT
11002804,11-0028-04
11002805,11-0028-05
11002806,11-0028-06
11002807,11-0028-07
11002808,11-0028-08
11002809,11-0028-09
11002810,11-0028-10
11002811,11-0028-11
11002812,11-0028-12
11002813,11-0028-13
11002814,11-0028-14
11002815,11-0028-15
11002816,11-0028-16
11002817,11-0028-17
11002818,11-0028-18
11002819,11-0028-19
11002820,11-0028-20
11002821,11-0028-21
11002822,11-0028-22
11002823,11-0028-23
11002824,11-0028-24
11002825,11-0028-25
11002828,11-0028-28
11002829,11-0028-29
11002830,11-0028-30
11002831,11-0028-31
11002832,11-0028-32
11002833,11-0028-33
11002834,11-0028-34
11002835,11-0028-35
11002836,11-0028-36
11002837,11-0028-37
11002838,11-0028-38
11002839,11-0028-39
11002840,11-0028-40
11002841,11-0028-41
11002842,11-0028-42
11002843,11-0028-43
11002844,11-0028-44
11002845,11-0028-45
11002846,11-0028-46
11002847,11-0028-47
11002848,11-0028-48
11002849,11-0028-49
11002850,11-0028-50
11002851,11-0028-51
11002852,11-0028-52
11002853,11-0028-53
11002854,11-0028-54
11002855,11-0028-55
11002856,11-0028-56
11002857,11-0028-57
11002858,11-0028-58
11002859,11-0028-59
11002860,11-0028-60
11002862,11-0028-62
11002864,11-0028-64
11002865,11-0028-65
11002866,11-0028-66
11002867,11-0028-67
11002868,11-0028-68
11002869,11-0028-69
11002870,11-0028-70
11002872,11-0028-72
11002873,11-0028-73
11002874,11-0028-74
11002882,11-0028-82
11002883,11-0028-83
11002884,11-0028-84
11002886,11-0028-86
11002887,11-0028-87
11002888,11-0028-88
11002889,11-0028-89
11002890,11-0028-90
11002891,11-0028-91
11002892,11-0028-92
11002893,11-0028-93
11002894,11-0028-94
11002895,11-0028-95
11002896,11-0028-96
11002897,11-0028-97
11002898,11-0028-98
11002899,11-0028-99
11002900,11-0029-00
11002901,11-0029-01
11002902,11-0029-02
11002917,11-0029-17
11002918,11-0029-18
11002919,11-0029-19
11002920,11-0029-20
11002922,11-0029-22
11002923,11-0029-23
11002925,11-0029-25
11002926,11-0029-26
11002928,11-0029-28
11002929,11-0029-29
11002930,11-0029-30
11002931,11-0029-31
11002932,11-0029-32
11002933,11-0029-33
11002934,11-0029-34
11002936,11-0029-36
11002937,11-0029-37
11002938,11-0029-38
11002939,11-0029-39
11002940,11-0029-40
11002946,11-0029-46
11002947,11-0029-47
11002948,11-0029-48
11002955,11-0029-55
11002960,11-0029-60
11002961,11-0029-61
11002962,11-0029-62
11002963,11-0029-63
11002964,11-0029-64
11002966,11-0029-66
11002967,11-0029-67
11002968,11-0029-68
11002969,11-0029-69
11002970,11-0029-70
11002971,11-0029-71
11002972,11-0029-72
11002973,11-0029-73
11002974,11-0029-74
11002975,11-0029-75
11002977,11-0029-77
11002979,11-0029-79
11002980,11-0029-80
11002981,11-0029-81
11002982,11-0029-82
11002983,11-0029-83
11002984,11-0029-84
11002986,11-0029-86
11002987,11-0029-87
11002988,11-0029-88
11002989,11-0029-89
11002990,11-0029-90
11002991,11-0029-91
11002992,11-0029-92
11002993,11-0029-93
11002994,11-0029-94
11002995,11-0029-95
11002996,11-0029-96
11002997,11-0029-97
11002998,11-0029-98
11002999,11-0029-99
11003000,11-0030-00
11003001,11-0030-01
12410294,KMP-MR9102GG
12410296,KMP-MR9102TT
12410297,KMP-MR9104GG
12410298,KMP-MR9104HH
12410299,KMP-MR9104TT
12410300,KMP-MR9106GG
12410301,KMP-MR9106HH
12410302,KMP-MR9106TT
12410303,KMP-MR91H1TT
12410305,KMP-MR9120TT
12410306,KMP-MR9130TT
12410307,KMP-MR91H1FF
12410308,KMP-MR9110FF
12410309,KMP-MR9120FF
12410310,KMP-MR9130FF
12410319,CMP-MR91170E
12410320,CMP-MR91170S
12410321,CMP-MR91270E
12410322,CMP-MR91270S
12410323,CMP-MR91370E
12410324,CMP-MR91370S
12410325,CMP-MR91H70E
12410326,CMP-MR91H70S
12410328,KMPTMR9110RR
12410329,KMPTMR9120RR
12410330,KMPTMR9130RR
14100011,BR100011
14100012,BR100012
14100030,BR100030
14100032,BR100032
14100034,BR100034
14100050,BR100050
14100054,BR100054
14100058,BR100058
14100188,BR100188
14100207,BR100207
14100208,BR100208
14100209,BR100209
14100211,BR100211
14100212,BR100212
14100213,BR100213
14100214,BR100214
14100216,BR100216
14100223,BR100223
14100229,BR100229
14100286,BR100286
14100287,BR100287
14100336,BR100336
14100338,BR100338
14100339,BR100339
14100349,BR100349
14100350,BR100350
14100351,BR100351
14100352,BR100352
14100353,BR100353
14100354,BR100354
14100355,BR100355
14100356,BR100356
14100357,BR100357
14100358,BR100358
14100368,BR100368
14100369,BR100369
14100374,BR100374
14100381,BR100381
14100383,BR100383
14100398,BR100398
14100399,BR100399
14100405,BR100405
14100406,BR100406
14100407,BR100407
14100411,BR100411
14100412,BR100412
14100413,BR100413
14100414,BR100414
14100420,BR100420
14100502,BR100502
14100503,BR100503
14100505,BR100505
14100511,BR100511
14100512,BR100512
14100515,BR100515
14100518,BR100518
14100519,BR100519
14100530,BR100530
14100531,BR100531
14100532,BR100532
14100533,BR100533
14100534,BR100534
14100535,BR100535
14100536,BR100536
14100538,BR100538
14100539,BR100539
14100540,BR100540
14100541,BR100541
14100542,BR100542
14100543,BR100543
14100547,BR100547
14100548,BR100548
14100549,BR100549
14100550,BR100550
14100555,BR100555
14100556,BR100556
14100557,BR100557
14100558,BR100558
14100562,BR100562
14100571,BR100571
14100574,BR100574
14100575,BR100575
14100576,BR100576
14100577,BR100577
14100580,BR100580
14100581,BR100581
14100602,BR100602
14100608,BR100608
14100609,BR100609
14100633,BR100633
14100638,BR100638
14100645,BR100645
14100646,BR100646
14100647,BR100647
14100648,BR100648
14100650,BR100650
14100651,BR100651
14100654,BR100654
14100655,BR100655
14100666,BR100666
14100667,BR100667
14100669,BR100669
14100670,BR100670
14100671,BR100671
14100672,BR100672
14100677,BR100677
14100678,BR100678
14100680,BR100680
14100681,BR100681
14100683,BR100683
14100687,BR100687
14100691,BR100691
14100709,BR100709
14100798,BR100798
14100799,BR100799
14100800,BR100800
14100810,BR100810
14100823,BR100823
14100826,BR100826
14100827,BR100827
14100828,BR100828
14100836,BR100836
14100838,BR100838
14100839,BR100839
14110011,BR110011
14110045,BR110045
14110055,BR110055
14110073,BR110073
14200013,BR200013
14200112,BR200112
14200141,BR200141
17548405,17-5484-05
18114329,18-1143-29
19781502,19-7815-02
25000698,PA12002
25000699,PA15602
25000700,PA17002
25000705,PA53521
25000708,PA55521
25000744,RPN11629
25000773,RPN3681
25000774,RPN3683
25000776,RPN3688
25000778,RPN3690
25000779,RPN3691
25003896,E70005Y
25003916,E70032Y
25003930,E70073Z
25003933,E70092X
25003934,E70092Y
25003935,E70092Z
25003962,E79000Y
25003963,E79000Z
25005157,N1031-1ML
25005158,N1034-1ML
25005160,N2031
25005161,N2034-1ML
25005169,N5000
25005170,N5500
25005172,NA9120-1ML
25005173,NA931-1ML
25005174,NA9310-1ML
25005177,NA933-1ML
25005179,NA934-1ML
25005180,NA9340-1ML
25005181,NACS104
25005183,NAMP100
25005184,NBCS104
25005185,NBCS204
25005360,NOCS104
25005361,NPCS104
25005363,NXA931-1ML
25005365,PA12000
25005366,PA12004
25005367,PA13000
25005368,PA13002
25005369,PA13004
25005371,PA13102
25005372,PA13104
25005379,PA15000
25005380,PA15002
25005381,PA15004
25005382,PA15100
25005383,PA15102
25005384,PA15104
25005385,PA15500
25005386,PA15502
25005387,PA15504
25005389,PA15604
25005390,PA17000
25005391,PA17004
25005392,PA22000
25005393,PA23000
25005394,PA23001
25005396,PA23501
25005397,PA25000
25005398,PA25001
25005399,PA25500
25005400,PA25501
25005402,PA32000
25005403,PA32001
25005404,PA33000
25005405,PA33001
25005408,PA35000
25005409,PA35001
25005415,PA42001
25005416,PA42002
25005423,PA43001
25005431,PA45001
25005441,PA53021
25005442,PA53022
25005445,PA55021
25005446,PA55022
25005905,RPK0188
25005952,RPN1001-2ML
25005955,RPN1004-2ML
25005959,RPN1051-2ML
25005966,RPN11642
25005967,RPN11643
25005968,RPN11644
25005969,RPN11645
25005970,RPN11646
25005971,RPN11647
25005972,RPN11648
25005973,RPN11649
25005975,RPN11650
25005985,RPN119B
25005990,RPN1210B
25005993,RPN1210N
25005995,RPN1231-2ML
25005996,RPN1232-2ML
25005997,RPN1233-2ML
25005998,RPN1234
25006009,RPN132B
25006011,RPN132N
25006018,RPN137B
25006021,RPN137N
25006033,RPN1510B
25006036,RPN1520B
25006038,RPN1520N
25006039,RPN1520T
25006068,RPN1604
25006069,RPN1605
25006070,RPN1606
25006071,RPN1607
25006075,RPN1633
25006076,RPN1634
25006077,RPN1635
25006078,RPN1636
25006084,RPN1662
25006085,RPN1663
25006087,RPN1665
25006091,RPN1669
25006118,RPN1732B
25006120,RPN1737B
25006127,RPN1782B
25006129,RPN1787B
25006193,RPN20
25006196,RPN201
25006198,RPN202
25006199,RPN2020B
25006201,RPN2020D
25006203,RPN2020F
25006205,RPN2020N
25006218,RPN203B
25006220,RPN203E
25006222,RPN203N
25006223,RPN203T
25006229,RPN2050
25006261,RPN2105
25006262,RPN2106
25006264,RPN2108
25006265,RPN2109
25006315,RPN2190
25006323,RPN220
25006327,RPN2209
25006333,RPN222
25006336,RPN2222B
25006341,RPN223
25006342,RPN224
25006345,RPN225
25006346,RPN2250B
25006348,RPN226
25006444,RPN250
25006480,RPN2610
25006481,RPN2611
25006483,RPN2613
25006484,RPN2614
25006486,RPN2617
25006487,RPN2618
25006488,RPN2619
25006500,RPN2712
25006505,RPN2718
25006516,RPN2751
25006519,RPN2754
25006528,RPN2764
25006536,RPN2784
25006537,RPN2785
25006540,RPN2788
25006549,RPN3000
25006550,RPN3001
25006551,RPN3004
25006552,RPN3005
25006553,RPN3006
25006563,RPN303B
25006564,RPN303C
25006565,RPN303D
25006566,RPN303E
25006567,RPN303F
25006568,RPN303N
25006569,RPN303T
25006573,RPN3050B
25006576,RPN3050N
25006619,RPN3680
25006620,RPN3682
25006621,RPN3685
25006664,RPN491
25006668,RPN510
25006669,RPN5110
25006689,RPN5781
25006690,RPN5782
25006691,RPN5783
25006692,RPN5784
25006693,RPN5785
25006697,RPN68D
25006703,RPN77
25006707,RPN82B
25006709,RPN82D
25006710,RPN82E
25006712,RPN82N
25006716,RPN8501
25006717,RPN8502
25006719,RPN8509
25006720,RPN8510
25006721,RPN8511
25006722,RPN8512
25006729,RPN87B
25006731,RPN87N
25016859,RPN2020S
25016926,RPN303S
25016933,RPN1520S
25016934,RPN1510S
25016984,RPN203S
25017110,RPN2222S
25017114,RPN87S
25017125,RPN119S
25017126,RPN1210S
25017128,RPN137S
25019935,RPN2133
25019974,RPN225B
25020024,RPN2134
25190005,RPN2631
25190015,RPK0158
25190020,RPN4301
25190022,RPN4402
25190026,RPN4401
25190027,RPK0272
25190028,RPK0273
25190030,RPK0275
25190043,RPN2708
25190055,RPN2621
25190058,RPK0325
25190061,RPN810
25190082,RPN2707
25190099,RPN4101
25190100,RPN4201
